id,review,term,aspect,sentiment,term_from,term_to
157,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",decor,AMBIENCE#GENERAL,positive,30,35
158,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",food,FOOD#QUALITY,positive,54,58
159,"The service is excellent, the decor is great, and the food is delicious and comes in large portions.",portions,FOOD#STYLE_OPTIONS,positive,91,99
160,I'm partial to the Gnocchi.,Gnocchi,RESTAURANT#GENERAL,positive,19,26
161,This place is incredibly tiny.,place,RESTAURANT#MISCELLANEOUS,negative,5,10
162,They refuse to seat parties of 3 or more on weekends.,NULL,SERVICE#GENERAL,negative,0,0
163,The hostess is rude to the point of being offensive.,hostess,SERVICE#GENERAL,negative,4,11
164,The food was bland oily.,food,FOOD#QUALITY,negative,4,8
165,I just don't understand all the hype...,NULL,RESTAURANT#GENERAL,negative,0,0
166,"We have been to this place many times, and always have great food, wine, and service.",food,FOOD#QUALITY,positive,61,65
167,"We have been to this place many times, and always have great food, wine, and service.",wine,DRINKS#QUALITY,positive,67,71
168,"We have been to this place many times, and always have great food, wine, and service.",service,SERVICE#GENERAL,positive,77,84
169,"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,SERVICE#GENERAL,positive,86,90
170,As always we had a great glass of wine while we waited.,glass of wine,DRINKS#QUALITY,positive,25,38
171,"When we sat, we got great and fast service.",service,SERVICE#GENERAL,positive,35,42
172,The people that work there are always so friendly you forget you are in New York sometimes.,people,SERVICE#GENERAL,positive,4,10
173,Make sure you try this place as often as you can.,place,RESTAURANT#GENERAL,positive,23,28
174,This is a fun restaurant to go to.,restaurant,RESTAURANT#GENERAL,positive,14,24
175,The pizza is yummy and I like the atmoshpere.,pizza,FOOD#QUALITY,positive,4,9
176,The pizza is yummy and I like the atmoshpere.,atmoshpere,AMBIENCE#GENERAL,positive,34,44
177,But the pizza is way to expensive.,pizza,FOOD#PRICES,negative,8,13
178,"A large is $20, and toppings are about $3 each.",NULL,FOOD#PRICES,negative,0,0
179,"A large is $20, and toppings are about $3 each.",toppings,FOOD#PRICES,negative,20,28
180,I went there for lunch and it was not as good as I expected from the reviews I read.,lunch,FOOD#QUALITY,negative,17,22
181,Sauce was watery and the food didn't have much flavor.,Sauce,FOOD#QUALITY,negative,0,5
182,Sauce was watery and the food didn't have much flavor.,food,FOOD#QUALITY,negative,25,29
183,I don't think I would go again.,NULL,RESTAURANT#GENERAL,negative,0,0
184,This place is great.,place,RESTAURANT#GENERAL,positive,5,10
185,I had a huge group for my birthday and we were well taken care of.,NULL,SERVICE#GENERAL,positive,0,0
186,The waitress was very patient with us and the food is phenomenal!,waitress,SERVICE#GENERAL,positive,4,12
187,The waitress was very patient with us and the food is phenomenal!,food,FOOD#QUALITY,positive,46,50
188,"Service was prompt, friendly and great.",Service,SERVICE#GENERAL,positive,0,7
189,Slightly on the pricey side but worth it!,NULL,RESTAURANT#PRICES,negative,0,0
190,Slightly on the pricey side but worth it!,NULL,RESTAURANT#GENERAL,positive,0,0
191,Great pizza and fantastic service.,pizza,FOOD#QUALITY,positive,6,11
192,Great pizza and fantastic service.,service,SERVICE#GENERAL,positive,26,33
193,"There was a small wait, but shorter than I expected.",wait,SERVICE#GENERAL,positive,18,22
194,Located at the end of a magnificent block.,block,LOCATION#GENERAL,positive,36,41
195,Very cozy and warm inside.....,NULL,AMBIENCE#GENERAL,positive,0,0
196,I will be back!,NULL,RESTAURANT#GENERAL,positive,0,0
197,This is the best sushi in new york city - hands down.,sushi,FOOD#QUALITY,positive,17,22
198,The place is small and cramped but the food is fantastic.,place,AMBIENCE#GENERAL,negative,4,9
199,The place is small and cramped but the food is fantastic.,food,FOOD#QUALITY,positive,39,43
200,Get the tuna of gari.,tuna of gari,FOOD#QUALITY,positive,8,20
201,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",sushi,FOOD#QUALITY,positive,75,80
202,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",thai food,FOOD#QUALITY,positive,103,112
203,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",Planet Thailand,RESTAURANT#GENERAL,positive,0,15
204,"With the great variety on the menu , I eat here often and never get bored .",menu,FOOD#STYLE_OPTIONS,positive,30,34
205,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",atmosphere,AMBIENCE#GENERAL,neutral,4,14
206,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",NULL,RESTAURANT#PRICES,positive,0,0
207,It's all about the food !!,food,FOOD#QUALITY,positive,19,23
208,first it took us a long time to find the place.,place,RESTAURANT#MISCELLANEOUS,negative,41,46
209,"but when we looked at the menu, there weren't a lot of choices, most of them were dumplings in the appetizer section.",menu,FOOD#STYLE_OPTIONS,negative,26,30
210,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,FOOD#STYLE_OPTIONS,neutral,6,11
211,"those rolls were big, but not good and sashimi wasn't fresh.",rolls,FOOD#QUALITY,negative,6,11
212,"those rolls were big, but not good and sashimi wasn't fresh.",sashimi,FOOD#QUALITY,negative,39,46
213,"they were dry and disgusting, i didn't even finish my first piece.",NULL,FOOD#QUALITY,negative,0,0
214,Hurley's is like Cheers where everyone knows your name and they are ACTUALLY glad you came.,NULL,SERVICE#GENERAL,positive,0,0
215,"Try the crunchy tuna, it is to die for.",crunchy tuna,FOOD#QUALITY,positive,8,20
216,"Try everything for that matter, it is all good.",NULL,FOOD#QUALITY,positive,0,0
217,I have been going there since it opened and I can't get enough.,NULL,RESTAURANT#GENERAL,positive,0,0
218,First went here to enjoy their garden terrace.,garden terrace,AMBIENCE#GENERAL,positive,31,45
219,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",food,FOOD#QUALITY,positive,4,8
220,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.",service,SERVICE#GENERAL,positive,30,37
221,"The Steak Tartare is a great bet, they fix it for you at the table.",Steak Tartare,FOOD#STYLE_OPTIONS,positive,4,17
222,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",open kitchen,AMBIENCE#GENERAL,positive,71,83
223,"Admittedly some nights inside the restaurant were rather warm, but the open kitchen is part of the charm.",restaurant,AMBIENCE#GENERAL,negative,34,44
224,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",wine selection,DRINKS#STYLE_OPTIONS,positive,6,20
225,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",Gigondas,DRINKS#QUALITY,positive,22,30
226,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",house champagne,DRINKS#PRICES,positive,59,74
227,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",NULL,AMBIENCE#GENERAL,neutral,0,0
228,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",vibe,AMBIENCE#GENERAL,positive,44,48
229,"It may be a bit packed on weekends, but the vibe is good and it is the best French food you will find in the area.",French food,FOOD#QUALITY,positive,76,87
230,"Have recommended the place to friends, always gets good response.",place,RESTAURANT#MISCELLANEOUS,positive,21,26
231,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",crust,FOOD#QUALITY,positive,77,82
232,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",pizza,FOOD#QUALITY,positive,17,22
233,I take all my NYC guests to VT's.,VT's,RESTAURANT#MISCELLANEOUS,positive,28,32
234,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",neighborhood,LOCATION#GENERAL,positive,74,86
235,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",food,FOOD#QUALITY,positive,101,105
236,I've been there three times and have always had wonderful experiences.,NULL,RESTAURANT#GENERAL,positive,0,0
237,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,setting,AMBIENCE#GENERAL,positive,75,82
238,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,service,SERVICE#GENERAL,positive,92,99
239,I'd highly recommend it for a special occasion -- it provides and intimate setting and nice service.,NULL,RESTAURANT#MISCELLANEOUS,positive,0,0
240,I'm not sure where the other reviewers ate but it seems as if we visited two different restaurants because my friends and I all enjoy Mizu very much... and we're repeat customers.,Mizu,RESTAURANT#GENERAL,positive,134,138
241,Even after they overcharged me the last time I was there.,NULL,SERVICE#GENERAL,negative,0,0
242,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll,FOOD#QUALITY,positive,23,41
243,it's delicious!,NULL,FOOD#QUALITY,positive,0,0
244,"Moules were excellent, lobster ravioli was VERY salty!",Moules,FOOD#QUALITY,positive,0,6
245,"Moules were excellent, lobster ravioli was VERY salty!",lobster ravioli,FOOD#QUALITY,negative,23,38
246,"Took my mom for Mother's Day, and the maitre d' was pretty rude.",maitre d',SERVICE#GENERAL,negative,38,47
247,"Told us to sit anywhere, and when we sat he said the table was reserved.",NULL,SERVICE#GENERAL,negative,0,0
248,Stepped on my foot on the SECOND time he reached over me to adjust lighting.,NULL,SERVICE#GENERAL,negative,0,0
249,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,FOOD#STYLE_OPTIONS,negative,5,12
250,Tiny dessert was $8.00...just plain overpriced for what it is.,dessert,FOOD#PRICES,negative,5,12
251,The drinks are always welll made and wine selection is fairly priced.,drinks,DRINKS#QUALITY,positive,4,10
252,The drinks are always welll made and wine selection is fairly priced.,wine selection,DRINKS#PRICES,positive,37,51
253,Try their chef's specials-- they are to die for.,chef's specials,FOOD#QUALITY,positive,10,25
254,"Service is not exactly five star, but thats not really a big deal.",Service,SERVICE#GENERAL,neutral,0,7
255,Downstairs lounge is always a good attraction,Downstairs lounge,AMBIENCE#GENERAL,positive,0,17
256,"Raga's is a romantic, cozy restaurant.",Raga's,AMBIENCE#GENERAL,positive,0,6
257,The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,FOOD#STYLE_OPTIONS,positive,4,15
258,The exotic food is beautifully presented and is a delight in delicious combinations.,exotic food,FOOD#QUALITY,positive,4,15
259,It is also extremely well priced.,NULL,FOOD#PRICES,positive,0,0
260,The staff is incredibly helpful and attentive.,staff,SERVICE#GENERAL,positive,4,9
261,The bar is very well stocked with interesting beers and well priced wines.,bar,DRINKS#STYLE_OPTIONS,positive,4,7
262,The bar is very well stocked with interesting beers and well priced wines.,beers,DRINKS#STYLE_OPTIONS,positive,46,51
263,The bar is very well stocked with interesting beers and well priced wines.,wines,DRINKS#PRICES,positive,68,73
264,This is one of my favorite restaurants and it is not to be missed.,NULL,RESTAURANT#GENERAL,positive,0,0
